filename,transcript,korean,gender,speed,pitch
0169.wav,diese frischen Hamburger,이 신선한 햄버거들을,female,0.807,1.08
0170.wav,einen teuren Tee,한 비싼 차를,male,0.866,0.899
0171.wav,diesem toten Titel,이 죽은 제목에게,female,0.856,1.079
0172.wav,diese nervösen Mütter,이 긴장한 어머니들을,female,0.94,1.111
0173.wav,diesen großen Rücken,이 큰 등을,male,0.883,0.92
0174.wav,diese freien Mitten,이 자유로운 가운데들을,male,0.941,0.916
0175.wav,eine kleine Frage,한 작은 질문이,male,0.862,0.922
0176.wav,diesen reichen Pass,이 부유한 여권을,male,0.861,0.898
0177.wav,diese späten Moden,이 늦은 패션들을,female,0.849,1.061
0178.wav,einer natürlichen Sprache,한 자연적인 언어에게,female,0.947,1.073
0179.wav,diesem klaren Studium,이 명확한 대학 공부에게,female,0.805,1.071
0180.wav,einem wahren Auge,한 진실한 눈에게,female,0.857,1.101
0181.wav,eine langsame Kirche,한 느린 교회를,male,0.823,0.906
0182.wav,dieses heißen Antwortbogens,이 뜨거운 답안지의,female,0.837,1.126
0183.wav,dieser leichten Gleise,이 가벼운 선로들의,female,0.846,1.111
0184.wav,eines einfachen Öls,한 간단한 기름의,male,0.949,0.913
0185.wav,einen komischen Chef,한 이상한 상사를,female,0.885,1.094
0186.wav,einem großen Rad,한 큰 바퀴에게,female,0.857,1.108
0187.wav,eines schlechten Ladens,한 나쁜 상점의,female,0.813,1.109
0188.wav,dieser einfachen Tür,이 간단한 문에게,female,0.851,1.098
0189.wav,einer kurzen Heizung,한 짧은 난방의,female,0.851,1.126
0190.wav,diesem schwierigen Laptop,이 어려운 노트북에게,female,0.804,1.128
0191.wav,diese kleinen Pullover,이 작은 풀오버들을,female,0.897,1.098
0192.wav,einen typischen Weg,한 전형적인 길을,male,0.939,0.923
0193.wav,diesen eleganten Bleistift,이 우아한 연필을,female,0.892,1.074
0194.wav,diesen normalen Suppen,이 보통의 수프들에게,male,0.939,0.921
0195.wav,diese schlechte Blume,이 나쁜 꽃을,female,0.87,1.103
0196.wav,diese frühen Schwimmbäder,이 이른 수영장들을,female,0.909,1.082
0197.wav,diese wichtige Zeit,이 중요한 시간을,female,0.85,1.119
0198.wav,eines sicheren Glückwunschs,한 안전한 축하의,male,0.917,0.904
0199.wav,eine einfache Homepage,한 간단한 홈페이지를,male,0.918,0.894
0200.wav,dieser interessante Test,이 흥미로운 시험이,male,0.898,0.933
0201.wav,diesem pünktlichen Blog,이 시간을 지키는 블로그에게,male,0.87,0.891
0202.wav,diesen natürlichen T-Shirts,이 자연적인 티셔츠들에게,female,0.836,1.122
0203.wav,dieses fremden Interviews,이 낯선 인터뷰의,male,0.924,0.896
0204.wav,dieses leren Schiffs,이 텅 빈 배의,male,0.848,0.908
0205.wav,diesem gefährlichen Wetter,이 위험한 날씨에게,female,0.819,1.093
0206.wav,dieses fremde Programm,이 낯선 프로그램을,female,0.919,1.078
0207.wav,einer schlimmen Note,한 심각한 점수의,male,0.839,0.918
0208.wav,diesen schweren Basketball,이 무거운 농구를,female,0.842,1.067
0209.wav,eine stressige Bluse,한 스트레스가 많은 블라우스를,female,0.887,1.076
0210.wav,diese direkten Ordnungen,이 직접적인 질서들을,female,0.932,1.085
0211.wav,dieses starke Geld,이 강한 돈을,male,0.939,0.918
0212.wav,einer eleganten Nachbarin,한 우아한 여이웃에게,female,0.821,1.092
0213.wav,diese gefährlichen Restaurants,이 위험한 식당들이,male,0.922,0.893
0214.wav,einer schweren Auskunft,한 무거운 정보에게,female,0.879,1.112
0215.wav,einem weiten Theater,한 넓은 극장에게,female,0.868,1.075
0216.wav,dieser schönen Zeugnisse,이 아름다운 성적표들의,male,0.941,0.927
0217.wav,einem tiefen Hotel,한 깊은 호텔에게,male,0.94,0.88
0218.wav,eine wunderbare Antwort,한 훌륭한 대답을,female,0.926,1.106
0219.wav,diesem spannenden Obst,이 흥미진진한 과일에게,male,0.911,0.881
0220.wav,eine neue Ausstellung,한 새로운 전시회를,male,0.899,0.921
0221.wav,dieses direkte Thema,이 직접적인 주제가,male,0.943,0.904
0222.wav,einer gemütlichen Disco,한 아늑한 디스코의,male,0.88,0.887
0223.wav,dieser schlimme Zug,이 심각한 기차가,female,0.809,1.094
0224.wav,ein schönes Plakat,한 아름다운 포스터가,female,0.845,1.089
0225.wav,eine richtige Sache,한 올바른 물건을,female,0.899,1.125
0226.wav,dieser alten Situation,이 오래된 상황에게,female,0.867,1.07
0227.wav,ein gemütliches Ergebnis,한 아늑한 결과가,female,0.857,1.083
0228.wav,eine einfache Meinung,한 간단한 의견이,female,0.825,1.074
0229.wav,dieses einfachen Empfängers,이 간단한 수신자의,male,0.936,0.894
0230.wav,diese bösen Noten,이 화난 점수들이,female,0.843,1.105
0231.wav,ein enges Team,한 좁은 팀을,male,0.871,0.887
0232.wav,diese böse Kasse,이 화난 계산대를,male,0.934,0.891
0233.wav,ein bequemer Fahrplan,한 편안한 시간표가,male,0.827,0.918
0234.wav,einen langweiligen Chef,한 지루한 상사를,female,0.844,1.066
0235.wav,eine leichte Tasche,한 가벼운 가방이,male,0.807,0.933
0236.wav,diesen alten Rücken,이 오래된 등들에게,male,0.878,0.898
0237.wav,eine braune Bohne,한 갈색의 콩이,female,0.814,1.075
0238.wav,eine kostenlose Note,한 무료의 점수를,male,0.946,0.93
0239.wav,diese engen Brote,이 좁은 빵들을,female,0.907,1.075
0240.wav,dieser strengen Ehefrau,이 엄격한 아내에게,female,0.876,1.121
0241.wav,einer starken Rose,한 강한 장미의,male,0.869,0.897
0242.wav,einen guten Fotoapparat,한 좋은 카메라를,male,0.939,0.882
0243.wav,diese schwierigen Tests,이 어려운 시험들이,male,0.923,0.881
0244.wav,eines furchtbaren Studiums,한 끔찍한 대학 공부의,female,0.901,1.093
0245.wav,einen beliebten Beruf,한 인기 있는 직업을,male,0.912,0.912
0246.wav,dieser fantastischen Artikel,이 환상적인 기사들의,female,0.831,1.12
0247.wav,ein spätes Interview,한 늦은 인터뷰를,male,0.87,0.896
0248.wav,diese spannenden Gruppen,이 흥미진진한 그룹들이,female,0.872,1.115
0249.wav,einer kranken Tante,한 아픈 이모에게,female,0.859,1.118
0250.wav,dieses bunten Kaffees,이 다채로운 커피의,male,0.824,0.921
0251.wav,diese schädliche Verspätung,이 해로운 지연을,female,0.815,1.074
0252.wav,eine schwere Angst,한 무거운 두려움을,female,0.904,1.07
0253.wav,einer kühlen Blume,한 시원한 꽃에게,female,0.895,1.109
0254.wav,eines reichen Trainings,한 부유한 훈련의,male,0.815,0.891
0255.wav,diesen frühen Schlüsseln,이 이른 열쇠들에게,female,0.8,1.081
0256.wav,dieser superen Basketbälle,이 훌륭한 농구들의,male,0.875,0.913
0257.wav,dieses schriftlichen Geburtstags,이 서면의 생일의,male,0.9,0.923
0258.wav,diesen bösen Passen,이 화난 여권들에게,female,0.871,1.106
0259.wav,dieser interessanten Wolken,이 흥미로운 구름들의,female,0.833,1.065
0260.wav,eine einfache Übersetzung,한 간단한 번역을,male,0.913,0.92
0261.wav,dieser hohen Türen,이 높은 문들의,male,0.817,0.935
0262.wav,einem pünktlichen Kollegen,한 시간을 지키는 동료에게,male,0.834,0.917
0263.wav,diesen notwendigen Grüßen,이 필요한 인사들에게,female,0.877,1.064
0264.wav,dieser superen Touristinnen,이 훌륭한 여관광객들의,female,0.831,1.066
0265.wav,eines blöden Kinds,한 바보 같은 아이의,female,0.913,1.122
0266.wav,diese interessante Eins,이 흥미로운 1점을,male,0.938,0.911
0267.wav,einem bösen Beispiel,한 화난 예시에게,male,0.87,0.921
0268.wav,dieses blauen Obsts,이 파란 과일의,male,0.827,0.901
0269.wav,ein beliebtes Zelt,한 인기 있는 텐트를,female,0.807,1.097
0270.wav,diesen dunklen Laptop,이 어두운 노트북을,female,0.941,1.113
0271.wav,diese digitale Studentin,이 디지털의 여대생이,male,0.922,0.883
0272.wav,einem kaputten Klavier,한 고장난 피아노에게,male,0.896,0.917
0273.wav,einer nebligen Küche,한 안개 낀 주방에게,male,0.828,0.903
0274.wav,dieser gute Apfel,이 좋은 사과가,female,0.943,1.066
0275.wav,einem elektronischen Bus,한 전자의 버스에게,female,0.842,1.122
0276.wav,eine stressige Uhr,한 스트레스가 많은 시계가,female,0.85,1.096
0277.wav,einer frühen Tante,한 이른 이모의,female,0.897,1.085
0278.wav,dieser schweren Chats,이 무거운 채팅들의,male,0.866,0.936
0279.wav,ein klarer Name,한 명확한 이름이,male,0.878,0.919
0280.wav,dieser blauen Orange,이 파란 오렌지에게,female,0.93,1.066
0281.wav,einen dünnen Bus,한 얇은 버스를,female,0.858,1.063
0282.wav,diese engen Veranstaltungen,이 좁은 행사들을,male,0.887,0.904
0283.wav,diesen guten Konzerten,이 좋은 콘서트들에게,male,0.887,0.896
0284.wav,eine kalte Postkarte,한 차가운 엽서를,female,0.903,1.13
0285.wav,diese wichtigen U-Bahnen,이 중요한 지하철들을,male,0.838,0.888
0286.wav,dieses hohe Beispiel,이 높은 예시가,female,0.839,1.122
0287.wav,einer reichen Schere,한 부유한 가위에게,female,0.813,1.123
0288.wav,ein reicher Ausweis,한 부유한 신분증이,male,0.913,0.893
0289.wav,einem warmen Basketball,한 따뜻한 농구에게,male,0.908,0.882
0290.wav,ein buntes Sofa,한 다채로운 소파가,female,0.93,1.065
0291.wav,ein langer Fuß,한 긴 발이,female,0.821,1.097
0292.wav,diesem ruhigen Tuch,이 조용한 천에게,male,0.815,0.889
0293.wav,dieses gleiche E-Book,이 같은 전자책을,female,0.87,1.075
0294.wav,eines kurzen Programms,한 짧은 프로그램의,male,0.88,0.894
0295.wav,ein großes Konzert,한 큰 콘서트를,female,0.82,1.09
0296.wav,dieser freiwilligen Erwachsenen,이 자발적인 어른들의,male,0.94,0.904
0297.wav,dieses toten Wagens,이 죽은 자동차의,female,0.841,1.062
0298.wav,ein schwerer Zahn,한 무거운 이가,female,0.868,1.096
0299.wav,einer nassen Schülerin,한 젖은 여학생에게,male,0.897,0.896
0300.wav,einem modernen Quiz,한 현대적인 퀴즈에게,male,0.858,0.894
0301.wav,einer bösen Reihe,한 화난 줄에게,male,0.901,0.882
0302.wav,diesem hohen Teller,이 높은 접시에게,female,0.938,1.073
0303.wav,dieser elegante Vertrag,이 우아한 계약이,male,0.838,0.904
0304.wav,eines kaputten Balls,한 고장난 공의,male,0.889,0.899
0305.wav,dieser bunte Koffer,이 다채로운 여행 가방이,female,0.884,1.085
0306.wav,einer warmen Heizung,한 따뜻한 난방에게,male,0.929,0.911
0307.wav,dieser fantastische Schalter,이 환상적인 카운터가,male,0.939,0.935
0308.wav,eine dringende Arbeit,한 긴급한 일을,male,0.801,0.905
0309.wav,dieser blauen Wolke,이 파란 구름에게,male,0.86,0.929
0310.wav,eine dünne Geschichte,한 얇은 이야기를,male,0.896,0.897
0311.wav,einer gefährlichen Mail,한 위험한 메일의,female,0.85,1.106
0312.wav,einen billigen Fernseher,한 싼 텔레비전을,female,0.888,1.092
0313.wav,eine enge Zeit,한 좁은 시간이,male,0.898,0.931
0314.wav,diese leichten Flaschen,이 가벼운 병들을,male,0.916,0.938
0315.wav,dieser komischen Morgen,이 이상한 아침들의,female,0.879,1.063
0316.wav,einer falschen Anmeldung,한 틀린 등록에게,female,0.879,1.118
0317.wav,diese bequeme Insel,이 편안한 섬이,male,0.854,0.924
0318.wav,einem grünen Gepäck,한 초록의 짐에게,male,0.819,0.925
0319.wav,ein blauer Mann,한 파란 남자가,male,0.83,0.921
0320.wav,dieser gleichen Bahnhöfe,이 같은 기차역들의,female,0.816,1.074
0321.wav,einem dünnen Zeugnis,한 얇은 성적표에게,male,0.886,0.92
0322.wav,einen schaden Arm,한 아쉬운 팔을,female,0.886,1.128
0323.wav,einer direkten Kleidung,한 직접적인 옷에게,female,0.92,1.087
0324.wav,ein elektronisches E-Book,한 전자의 전자책이,male,0.912,0.939
0325.wav,ein pünktliches Alter,한 시간을 지키는 나이를,male,0.865,0.919
0326.wav,einem fremden Satz,한 낯선 문장에게,male,0.806,0.883
0327.wav,einer geborenen Heimat,한 태어난 고향의,female,0.901,1.12
0328.wav,diese ruhige Arbeit,이 조용한 일이,female,0.937,1.101
0329.wav,dieser langsamen Sprache,이 느린 언어의,male,0.883,0.937
0330.wav,einem klaren Essen,한 명확한 음식에게,male,0.847,0.903
0331.wav,diese hohe Postkarte,이 높은 엽서를,male,0.825,0.938
0332.wav,einem normalen Fan,한 보통의 팬에게,female,0.945,1.125
0333.wav,dieses praktischen Aufzugs,이 실용적인 엘리베이터의,male,0.927,0.929
0334.wav,eine kalte Kosmetik,한 차가운 화장품이,female,0.863,1.126
0335.wav,ein hartes Gepäck,한 딱딱한 짐을,female,0.943,1.061
0336.wav,ein blaues Rad,한 파란 바퀴가,female,0.857,1.078
0337.wav,dieser schönen Rezeptionen,이 아름다운 리셉션들의,female,0.848,1.099
0338.wav,eine günstige Sehenswürdigkeit,한 저렴한 관광 명소가,female,0.936,1.065
0339.wav,diesem aktuellen Löffel,이 최신의 숟가락에게,female,0.886,1.072
0340.wav,diesen wichtigen Schnee,이 중요한 눈을,female,0.863,1.12
0341.wav,dieser reichen Kühlschränke,이 부유한 냉장고들의,female,0.89,1.122
0342.wav,eine aktuelle Zeitung,한 최신의 신문을,male,0.846,0.901
0343.wav,eines nützlichen Gerichts,한 유용한 요리의,female,0.876,1.1
0344.wav,eines langsamen Dursts,한 느린 갈증의,female,0.879,1.086
0345.wav,dieser leichten Anmeldung,이 가벼운 등록의,female,0.812,1.113
0346.wav,dieses typischen Vertrags,이 전형적인 계약의,female,0.886,1.076
0347.wav,einen leren Regen,한 텅 빈 비를,male,0.8,0.906
0348.wav,eines dünnen Chefs,한 얇은 상사의,female,0.833,1.094
0349.wav,einen fantastischen Bleistift,한 환상적인 연필을,female,0.852,1.103
0350.wav,diesem sicheren Fotoapparat,이 안전한 카메라에게,male,0.847,0.892
0351.wav,dieser frühen Katze,이 이른 고양이의,female,0.937,1.085
0352.wav,einem guten Team,한 좋은 팀에게,male,0.926,0.916
0353.wav,diesen wichtigen Partys,이 중요한 파티들에게,male,0.881,0.903
0354.wav,eines roten Radios,한 빨간 라디오의,male,0.931,0.882
0355.wav,diesen schönen Homepages,이 아름다운 홈페이지들에게,female,0.813,1.104
0356.wav,dieser willkommene Spielplatz,이 환영받는 놀이터가,male,0.892,0.913
0357.wav,diesen gleichen Balkon,이 같은 발코니를,female,0.914,1.072
0358.wav,ein harter Drucker,한 딱딱한 프린터가,female,0.886,1.095
0359.wav,einem schwierigen Ticket,한 어려운 티켓에게,male,0.884,0.897
0360.wav,einer starken Familie,한 강한 가족에게,male,0.805,0.898
0361.wav,einer guten Torte,한 좋은 케이크의,female,0.868,1.124
